city_code_LAMAS,address,building_number,lat,lng,flr_area
1200,חטיבת הצנחנים 9,702555319,31.9060389,35.0000737,1072.25
1200,נחל שורק 4,702555322,31.8945384,35.0106966,1558.25
1200,חטיבת הצנחנים 5,702555326,31.9053835,35.0004365,1097
1200,נחל שורק 14,702555331,31.8960409,35.0089565,2255.75
1200,נחל שורק 16,702555338,31.8958348,35.007097,2346
1200,נחל שורק 18,702555346,31.8941853,35.0058063,1230.5
1200,חטיבת הצנחנים 37,702555349,31.9094399,34.9962082,2714.5
1200,חטיבת הצנחנים 35,702555357,31.9094399,34.9962082,1444
1200,חטיבת הצנחנים 33,702555365,31.909247,34.9969374,1543.5
1200,חטיבת הצנחנים 31,702555372,31.9065954,34.999623,1500.25
1200,חטיבת הצנחנים 29,702555380,31.90943099999999,34.9966926,1629.25
1200,חטיבת הצנחנים 27,702555384,31.90943099999999,34.9966926,1534.75
1200,חטיבת הצנחנים 25,702555392,31.90943099999999,34.9966926,1565.5
1200,חטיבת הצנחנים 23,702555397,31.9076049,34.999255,1616.25
1200,חטיבת הצנחנים 21,702555408,31.9055058,35.0006093,2782.75
1200,עמק בית שאן 41,702555413,31.9110095,35.0040419,1068.75
1200,נחל חבר 38,702555414,31.8927231,35.0086076,875.25
1200,עמק בית שאן 47,702555417,31.9147484,34.9976908,1028.75
1200,עמק בית שאן 45,702555425,31.9144115,34.9985094,559
1200,עמק בית שאן 49,702555433,31.9147484,34.9976908,1028.75
1200,עמק בית שאן 35,702555443,31.9143668,34.9986033,2496
1200,עמק בית שאן 37,702555450,31.9147484,34.9976908,2496
1200,עמק בית שאן 29,702555463,31.9147484,34.9976908,2341.75
1200,עמק בית שאן 31,702555469,31.9104934,35.0034859,2341.75
1200,עמק בית שאן 33,702555478,31.9118723,35.0013657,2341.75
1200,עמק בית שאן 16,702555483,31.9147286,34.9976994,2708
1200,עמק בית שאן 14,702555493,31.9127126,35.0008061,2708
1200,עמק בית שאן 12,702555500,31.91092699999999,35.0026003,2708
1200,נחל ארנון 6,702555505,31.8945965,35.0048446,1052.75
1200,עמק בית שאן 10,702555506,31.9087515,35.0053161,2476.5
1200,חטיבת הצנחנים 11,702555618,31.9062993,34.9998031,1164
1200,חטיבת הצנחנים 19,702555627,31.9094399,34.9962082,1201.75
1200,חטיבת הצנחנים 17,702555633,31.9094399,34.9962082,1385
1200,חטיבת הצנחנים 15,702555644,31.9094399,34.9962082,1253.25
