id,floors,stat_area
702565658,5,214
702565662,4,214
702565663,5,312
702565664,3,123
702565671,4,214
702565672,6,312
702565673,3,123
702565679,4,214
702565680,3,123
702565681,5,312
702565688,5,312
702565689,4,214
702565690,3,123
702565701,3,123
702565818,3,211
702565825,3,211
702565834,3,211
702565855,3,211
702565866,3,211
702565877,3,211
702565887,3,211
702565897,3,211
702565905,3,211
702565911,4,214
702565915,3,123
702565918,4,214
702565920,4,312
702565929,5,214
702565930,4,312
702565936,4,312
702565937,5,214
702565946,5,214
702565949,4,312
702565959,4,312
702565963,5,214
702565982,5,214
702565995,4,214
702566005,4,214
702566213,3,211
702566222,3,211
702566327,3,214
702566348,3,214
702566357,3,214
702566370,3,214
702566380,4,214
702566395,4,214
702566402,3,214
702566527,3,211
702566536,3,211
702566544,3,211
702566550,3,111
702566553,3,211
702566556,3,111
702566562,3,111
702566563,3,211
702566571,3,115
702566572,3,211
702566587,3,211
702566594,3,211
702566597,3,211
702566598,4,111
702566605,3,211
702566710,3,214
702566716,3,214
702566726,4,214
702566727,3,112
702566739,4,214
702566741,3,112
702566743,4,214
702566749,3,112
702566759,2,112
702566765,2,112
702566779,2,112
702566805,4,214
702566808,3,313
702566909,3,111
702566913,3,211
702566917,4,111
702566922,4,111
702566924,3,211
702566943,6,211
702566962,6,211
702566967,5,122
702566972,6,211
702566982,4,122
702566983,6,211
702566993,6,211
702566998,3,122
702566999,6,211
702567017,3,313
702567028,3,313
702567037,4,311
702567040,3,313
702567079,2,311
702567087,2,311
702567103,2,311
702567312,6,211
702567324,4,122
702567329,4,122
702567331,3,213
702567340,3,213
702567341,4,122
702567347,3,213
702567349,4,122
702567356,3,213
702567364,3,122
702567366,3,213
702567374,3,213
702567391,3,122
702567397,3,122
702567404,4,122
702567413,2,311
702567418,2,311
702567428,2,311
702567710,3,213
702567719,5,122
702567720,3,213
702567727,3,213
702567729,5,122
702567740,3,122
702567745,3,213
702567758,3,213
702567759,3,122
702567766,3,213
702567776,3,213
702567786,3,122
702567788,3,213
702567800,3,122
702567813,4,313
702567823,4,313
702567833,4,313
702567842,4,313
702567852,4,313
702567883,4,113
702567899,4,113
702567903,4,113
702568125,4,122
702568149,5,213
702568155,5,213
702568161,4,122
702568164,4,213
702568167,4,122
702568171,5,213
702568173,4,122
702568197,4,122
702568205,4,122
702568213,4,113
702568215,2,311
702568218,4,113
702568221,4,113
702568224,2,311
702568235,4,113
702568242,4,113
702568246,2,311
702568251,4,113
702568261,4,113
702568412,5,225
702568419,5,122
702568423,5,225
702568425,5,122
702568432,5,225
702568441,5,225
702568444,5,122
702568455,5,122
702568469,5,224
702568475,4,122
702568476,5,224
702568480,3,122
702568493,5,224
702568617,4,313
702568636,3,313
702568648,3,313
702568656,4,313
702568677,4,113
702568686,3,312
702568698,3,312
702568819,4,111
702568826,4,111
702568835,4,111
702568844,4,111
702568853,4,111
702568856,4,111
702568870,4,111
702568879,4,111
702568887,4,111
702568894,4,111
702568899,3,111
702568907,3,111
702569011,3,312
702569020,3,312
702569026,3,312
702569044,3,312
702569052,4,311
702569058,4,311
702569068,4,311
702569083,4,311
702569089,4,311
702569099,4,311
702569215,3,111
702569220,4,111
702569228,4,311
702569229,4,111
702569235,4,311
702569240,3,111
702569245,4,311
702569246,3,111
702569251,4,311
702569267,2,311
702569276,4,111
702569278,4,111
702569280,2,311
702569286,4,111
702569289,4,311
702569293,2,311
702569297,4,111
702569303,2,311
